thing,thing,84.349999,84.58999899999999
to,to,84.95,85.07000000000001
be,be,85.07,85.27
obsolete,obsolete,85.27,86.28999999999999
It's,it's,88.059999,88.34999900000001
hard,hard,88.359999,88.629999
to,to,88.73,89.0
imagine,imagine,89.0,89.8
I,i,89.799999,89.86999899999999
try,try,89.869999,90.079999
to,to,90.08,90.17
see,see,90.17,90.55
what's,what's,90.55,90.84
around,around,90.84,91.35000000000001
me,me,91.36,91.99
Maybe,maybe,93.64,94.11
motion,motion,94.11,94.53
capture,capture,94.53,95.23
maybe,maybe,95.26,95.59
data,data,95.59,95.98
sets,sets,95.98,96.67
something,something,97.1,97.47
to,to,97.47,97.59
think,think,97.6,97.80999999999999
about,about,97.81,98.05
while,while,98.05,98.2
we're,we're,98.2,98.32000000000001
doing,doing,98.32,98.55
this,this,98.55,98.73
exercise,exercise,98.73,99.5
hopefully,hopefully,99.67,100.15
not,not,100.15,100.33000000000001
the,the,100.33,100.42999999999999
technology,technology,100.429999,101.019999
we're,we're,101.02,101.13
developing,developing,101.13,101.78999999999999
right,right,101.78999999999999,102.02
now,now,102.02,102.33999999999999
The,the,109.35,109.47999999999999
most,most,109.48,109.8
annoying,annoying,109.83,110.35
animal,animal,110.38,110.89999999999999
in,in,110.91,111.03999999999999
the,the,111.04,111.15
animal,animal,111.18,111.60000000000001
kingdom,kingdom,111.6,112.08999999999999
without,without,112.12,112.61
a,a,112.61,112.69
doubt,doubt,112.69,113.16
is,is,113.21,113.41
the,the,113.41,113.55
weaver,weaver,113.56,113.98
because,because,114.68,115.24000000000001
it,it,115.37,115.54
just,just,115.54,115.75
chews,chews,115.76,116.25
on,on,116.25,116.45
things,things,116.48,117.08
and,and,117.08,117.24
it,it,117.24,117.30999999999999
creates,creates,117.309999,117.75999900000001
dance,dance,117.76,118.12
and,and,118.12,118.25
it,it,118.25,118.33
stops,stops,118.34,118.75
water,water,118.75,119.08
It's,it's,119.08,119.2
just,just,119.2,119.37
making,making,119.37,119.65
a,a,119.65,119.71000000000001
mess,mess,119.71000000000001,120.25000000000001
